Starting teleoperation loop...
loop  nan Hz  dt<= 0.0 ms  cpu<=3.8 ms  slow   0 | F  0.6 N (max  0.6)  tau 0.01 Nm  F@c  0.0 N | err  0.0 mm  0.0 deg (max  0.0 mm)  leash   0% | v  0.0 mm/s (max  0.0)  at vmax   0%  ff 1.00 | ok  net 0
loop  498 Hz  dt<= 3.8 ms  cpu<=1.0 ms  slow   0 | F  0.6 N (max  1.6)  tau 0.15 Nm  F@c  0.0 N | err  1.2 mm  0.0 deg (max  1.2 mm)  leash   0% | v 49.9 mm/s (max 49.9)  at vmax   0%  ff 1.00 | ok  net 0
loop  496 Hz  dt<= 3.0 ms  cpu<=0.6 ms  slow   0 | F  1.2 N (max  1.9)  tau 0.17 Nm  F@c  0.0 N | err  0.8 mm  0.1 deg (max  1.2 mm)  leash   0% | v 50.6 mm/s (max 52.8)  at vmax   0%  ff 1.00 | ok  net 0
loop  498 Hz  dt<= 2.2 ms  cpu<=0.6 ms  slow   0 | F  0.7 N (max  4.1)  tau 0.10 Nm  F@c  0.0 N | err  0.4 mm  0.1 deg (max  0.8 mm)  leash   0% | v  0.1 mm/s (max 50.3)  at vmax   0%  ff 1.00 | ok  net 0
loop  497 Hz  dt<= 2.2 ms  cpu<=0.8 ms  slow   0 | F  1.1 N (max  3.0)  tau 0.01 Nm  F@c  0.0 N | err  3.2 mm  0.1 deg (max  3.4 mm)  leash   0% | v 51.4 mm/s (max 51.4)  at vmax   0%  ff 0.58 | ok  net 0
loop  496 Hz  dt<= 2.9 ms  cpu<=0.8 ms  slow   0 | F  1.1 N (max  1.8)  tau 0.01 Nm  F@c  0.0 N | err  2.6 mm  0.1 deg (max  3.3 mm)  leash   0% | v 50.2 mm/s (max 51.6)  at vmax   0%  ff 1.00 | ok  net 0
loop  496 Hz  dt<= 3.1 ms  cpu<=0.8 ms  slow   0 | F  1.8 N (max  2.0)  tau 0.14 Nm  F@c  0.0 N | err  1.2 mm  0.1 deg (max  2.6 mm)  leash   0% | v  6.3 mm/s (max 50.0)  at vmax   0%  ff 1.00 | ok  net 0
loop  498 Hz  dt<= 2.1 ms  cpu<=0.7 ms  slow   0 | F  0.5 N (max  3.9)  tau 0.05 Nm  F@c  0.0 N | err  2.0 mm  0.1 deg (max  2.2 mm)  leash   0% | v 50.6 mm/s (max 50.8)  at vmax   0%  ff 0.66 | ok  net 0
loop  497 Hz  dt<= 2.1 ms  cpu<=0.6 ms  slow   0 | F  1.1 N (max  7.1)  tau 0.09 Nm  F@c  0.0 N | err  1.0 mm  0.2 deg (max  2.0 mm)  leash   0% | v  0.3 mm/s (max 50.8)  at vmax   0%  ff 0.64 | ok  net 0
loop  497 Hz  dt<= 2.5 ms  cpu<=0.6 ms  slow   0 | F  1.9 N (max  3.2)  tau 0.17 Nm  F@c  0.0 N | err  2.2 mm  0.2 deg (max  2.2 mm)  leash   0% | v 41.6 mm/s (max 41.6)  at vmax   0%  ff 0.62 | ok  net 0
loop  497 Hz  dt<= 2.1 ms  cpu<=0.6 ms  slow   0 | F  1.0 N (max  2.0)  tau 0.17 Nm  F@c  0.0 N | err  2.0 mm  0.3 deg (max  2.5 mm)  leash   0% | v 50.3 mm/s (max 50.5)  at vmax   0%  ff 0.88 | ok  net 0
loop  497 Hz  dt<= 2.8 ms  cpu<=0.7 ms  slow   0 | F  1.3 N (max  9.8)  tau 0.17 Nm  F@c  0.0 N | err  0.8 mm  0.3 deg (max  2.0 mm)  leash   0% | v  0.3 mm/s (max 50.5)  at vmax   0%  ff 1.00 | ok  net 0
